"area","date","municipality","use","stratum","consumption"
"U",2010-12-31,"POLICARPA","Residencial 2",2,57.818
"R",2010-12-31,"CUMBITARA","Residencial 1",1,78.674
"R",2010-12-31,"CUMBITARA","Oficial",0,83.622
"R",2010-12-31,"LEIVA","Comercial",0,97.935
"U",2010-12-31,"CUMBITARA","Residencial 3",3,110.342
"U",2010-12-31,"POLICARPA","Especial",0,116.816
"U",2010-12-31,"EL ROSARIO","Residencial 1",1,143.217
"R",2010-12-31,"CUMBITARA","Residencial 2",2,144.483
"R",2010-12-31,"MAGUI","Oficial",0,173.354
"R",2010-12-31,"POLICARPA","Residencial 3",3,235.993
"R",2010-12-31,"POLICARPA","Comercial",0,473.26
"R",2010-12-31,"CUMBITARA","Especial",0,536.684
"U",2010-12-31,"CUMBITARA","Comercial",0,590.798
"U",2010-12-31,"CUMBITARA","Residencial 1",1,599.475
"R",2010-12-31,"LEIVA","Especial",0,613.886
"R",2010-12-31,"LEIVA","Oficial",0,721.376
"R",2010-12-31,"POLICARPA","Oficial",0,742.197
"U",2010-12-31,"POLICARPA","Residencial 1",1,802.843
"U",2010-12-31,"LEIVA","Comercial",0,809.757
"U",2010-12-31,"POLICARPA","Comercial",0,887.332
"R",2010-12-31,"LEIVA","Residencial 2",2,943.523
"U",2010-12-31,"BARBACOAS","Industrial",0,953.345
"U",2010-12-31,"CUMBITARA","Oficial",0,953.489
"R",2010-12-31,"EL ROSARIO","Oficial",0,1012.349
"R",2010-12-31,"CUMBITARA","Residencial 2",2,1104.902
"R",2010-12-31,"BARBACOAS","Residencial 2",2,1176.137
"R",2010-12-31,"CUMBITARA","Comercial",0,1257.794
"U",2010-12-31,"LEIVA","Residencial 1",1,1263.605
"R",2010-12-31,"POLICARPA","Residencial 2",2,1358.136
"R",2010-12-31,"BARBACOAS","Especial",0,1373.956
"R",2010-12-31,"EL ROSARIO","Especial",0,1401.283
"R",2010-12-31,"POLICARPA","Residencial 2",2,1548.112
"R",2010-12-31,"BARBACOAS","Comercial",0,1684.467
"R",2010-12-31,"EL ROSARIO","Residencial 2",2,1721.416
"R",2010-12-31,"POLICARPA","Especial",0,1756.732
"U",2010-12-31,"POLICARPA","Oficial",0,2223.286
"R",2010-12-31,"EL ROSARIO","Residencial 1",1,2238.119
"U",2010-12-31,"EL ROSARIO","Comercial",0,2240.929
"U",2010-12-31,"EL ROSARIO","Oficial",0,2242.052
"R",2010-12-31,"LEIVA","Residencial 1",1,2254.899
"U",2010-12-31,"EL ROSARIO","Especial",0,2285.859
"U",2010-12-31,"LEIVA","Oficial",0,3182.275
"U",2010-12-31,"BARBACOAS","Residencial 3",3,4391.084
"R",2010-12-31,"ROBERTO PAYAN","Residencial 1",1,4464.485
"U",2010-12-31,"POLICARPA","Residencial 2",2,4486.219
"R",2010-12-31,"POLICARPA","Residencial 1",1,4874.43
"U",2010-12-31,"LEIVA","Residencial 2",2,5331.502
"R",2010-12-31,"BARBACOAS","Oficial",0,5937.68
"U",2010-12-31,"CUMBITARA","Residencial 1",1,7287.01
"U",2010-12-31,"CUMBITARA","Residencial 2",2,7358.995
"R",2010-12-31,"ROBERTO PAYAN","Residencial Sub",1,8866.474
"U",2010-12-31,"MAGUI","Residencial Sub",1,20850.054
"R",2010-12-31,"CUMBITARA","Residencial 1",1,22665.161
"R",2010-12-31,"MAGUI","Residencial Sub",1,23304.802
"U",2010-12-31,"EL ROSARIO","Residencial 2",2,23725.904
"U",2010-12-31,"BARBACOAS","Oficial",0,32405.736
"U",2010-12-31,"ROBERTO PAYAN","Residencial Sub",1,34699.091
"U",2010-12-31,"BARBACOAS","Comercial",0,35557.817
"U",2010-12-31,"EL ROSARIO","Residencial 1",1,41184.79
"U",2010-12-31,"POLICARPA","Residencial 1",1,55350.307
"R",2010-12-31,"LEIVA","Residencial 1",1,59726.682
"U",2010-12-31,"BARBACOAS","Residencial 2",2,67905.057
"R",2010-12-31,"EL ROSARIO","Residencial 1",1,101150.45
"U",2010-12-31,"LEIVA","Residencial 1",1,108771.55
"R",2010-12-31,"POLICARPA","Residencial 1",1,136927.03
"R",2010-12-31,"BARBACOAS","Residencial 1",1,181866.54
"U",2010-12-31,"BARBACOAS","Residencial 1",1,266883.49
"R",2011-01-31,"CUMBITARA","Residencial 1",1,94.147
"R",2011-01-31,"CUMBITARA","Oficial",0,110.938
"R",2011-01-31,"LEIVA","Comercial",0,111.658
"U",2011-01-31,"POLICARPA","Residencial 2",2,134.026
"U",2011-01-31,"POLICARPA","Especial",0,143.315
"U",2011-01-31,"CUMBITARA","Residencial 3",3,167.307
"R",2011-01-31,"MAGUI","Oficial",0,208.58
"R",2011-01-31,"CUMBITARA","Residencial 2",2,211.083
"R",2011-01-31,"POLICARPA","Comercial",0,281.323
"U",2011-01-31,"CUMBITARA","Oficial",0,314.226
"U",2011-01-31,"EL ROSARIO","Residencial 1",1,317.431
"R",2011-01-31,"POLICARPA","Residencial 3",3,376.866
"R",2011-01-31,"LEIVA","Oficial",0,392.165
"R",2011-01-31,"POLICARPA","Oficial",0,433.928
"R",2011-01-31,"LEIVA","Especial",0,574.633
"R",2011-01-31,"CUMBITARA","Especial",0,577.077
"R",2011-01-31,"EL ROSARIO","Oficial",0,677.76
"U",2011-01-31,"CUMBITARA","Residencial 1",1,725.275
"U",2011-01-31,"POLICARPA","Oficial",0,765.675
"U",2011-01-31,"MAGUI","Oficial",0,789.551
"R",2011-01-31,"BARBACOAS","Residencial 2",2,800.11
"U",2011-01-31,"POLICARPA","Residencial 1",1,851.931
"U",2011-01-31,"LEIVA","Comercial",0,917.777
"U",2011-01-31,"CUMBITARA","Comercial",0,946.875
"R",2011-01-31,"LEIVA","Residencial 2",2,969.52
"U",2011-01-31,"BARBACOAS","Industrial",0,1073.697
"R",2011-01-31,"EL ROSARIO","Especial",0,1115.302
"U",2011-01-31,"CUMBITARA","Oficial",0,1194.595
"U",2011-01-31,"POLICARPA","Comercial",0,1246.046
"U",2011-01-31,"LEIVA","Residencial 1",1,1271.817
"R",2011-01-31,"CUMBITARA","Residencial 2",2,1361.243
"U",2011-01-31,"EL ROSARIO","Oficial",0,1409.854
"R",2011-01-31,"POLICARPA","Especial",0,1512.696
"R",2011-01-31,"CUMBITARA","Comercial",0,1569.809
"R",2011-01-31,"POLICARPA","Residencial 2",2,1714.473
"R",2011-01-31,"ROBERTO PAYAN","Residencial 1",1,1894.557
"R",2011-01-31,"POLICARPA","Residencial 2",2,2031.625
"R",2011-01-31,"BARBACOAS","Especial",0,2086.146
"R",2011-01-31,"EL ROSARIO","Residencial 2",2,2104.771
"U",2011-01-31,"POLICARPA","Oficial",0,2217.458
"R",2011-01-31,"BARBACOAS","Comercial",0,2220.229
"U",2011-01-31,"BARBACOAS","Residencial 3",3,2227.404
"U",2011-01-31,"EL ROSARIO","Especial",0,2410.764
"R",2011-01-31,"EL ROSARIO","Residencial 1",1,2482.831
"U",2011-01-31,"EL ROSARIO","Comercial",0,2616.666
"R",2011-01-31,"LEIVA","Residencial 1",1,2690.691
"R",2011-01-31,"ROBERTO PAYAN","Residencial Sub",1,2943.469
"U",2011-01-31,"LEIVA","Oficial",0,4233.346
"U",2011-01-31,"POLICARPA","Residencial 2",2,5581.598
"R",2011-01-31,"BARBACOAS","Oficial",0,5822.742
"R",2011-01-31,"POLICARPA","Residencial 1",1,6041.802
"U",2011-01-31,"LEIVA","Residencial 2",2,6683.155
"U",2011-01-31,"CUMBITARA","Residencial 1",1,9543.566
"U",2011-01-31,"CUMBITARA","Residencial 2",2,9664.23
"U",2011-01-31,"ROBERTO PAYAN","Residencial Sub",1,14768.38
"U",2011-01-31,"MAGUI","Residencial Sub",1,22711.718
"U",2011-01-31,"EL ROSARIO","Residencial 2",2,23381.272
"R",2011-01-31,"CUMBITARA","Residencial 1",1,25406.989
"R",2011-01-31,"MAGUI","Residencial Sub",1,26203.069
"U",2011-01-31,"BARBACOAS","Oficial",0,30338.136
"U",2011-01-31,"EL ROSARIO","Residencial 1",1,42172.852
"U",2011-01-31,"BARBACOAS","Comercial",0,46814.14
"R",2011-01-31,"LEIVA","Residencial 1",1,62243.074
"U",2011-01-31,"POLICARPA","Residencial 1",1,63918.619
"U",2011-01-31,"BARBACOAS","Residencial 2",2,71327.003
"R",2011-01-31,"EL ROSARIO","Residencial 1",1,116301.72
"U",2011-01-31,"LEIVA","Residencial 1",1,126481.91
"R",2011-01-31,"POLICARPA","Residencial 1",1,143227.61
"R",2011-01-31,"BARBACOAS","Residencial 1",1,190311.32
"U",2011-01-31,"BARBACOAS","Residencial 1",1,276326.51
"R",2011-02-28,"CUMBITARA","Oficial",0,48.478
"R",2011-02-28,"CUMBITARA","Residencial 1",1,63.06
"U",2011-02-28,"POLICARPA","Residencial 2",2,67.915
"R",2011-02-28,"CUMBITARA","Residencial 2",2,68.183
"U",2011-02-28,"CUMBITARA","Residencial 3",3,75.672
"U",2011-02-28,"POLICARPA","Especial",0,86.025
"R",2011-02-28,"MAGUI","Oficial",0,99.208
"R",2011-02-28,"LEIVA","Comercial",0,109.866
"U",2011-02-28,"CUMBITARA","Oficial",0,206.522
"R",2011-02-28,"POLICARPA","Comercial",0,250.153
"R",2011-02-28,"POLICARPA","Residencial 3",3,322.595
"R",2011-02-28,"CUMBITARA","Especial",0,366.189
"R",2011-02-28,"POLICARPA","Oficial",0,388.247
"R",2011-02-28,"LEIVA","Oficial",0,444.824
"U",2011-02-28,"EL ROSARIO","Residencial 1",1,461.285
"U",2011-02-28,"CUMBITARA","Residencial 1",1,475.118
"U",2011-02-28,"CUMBITARA","Oficial",0,566.282
"U",2011-02-28,"CUMBITARA","Comercial",0,575.03
"U",2011-02-28,"POLICARPA","Residencial 1",1,577.277
"R",2011-02-28,"EL ROSARIO","Oficial",0,601.047
"U",2011-02-28,"POLICARPA","Oficial",0,689.335
"R",2011-02-28,"POLICARPA","Especial",0,746.05
"R",2011-02-28,"EL ROSARIO","Especial",0,758.949
"R",2011-02-28,"BARBACOAS","Residencial 2",2,772.692
"U",2011-02-28,"BARBACOAS","Industrial",0,793.647
"R",2011-02-28,"LEIVA","Especial",0,814.619
"U",2011-02-28,"POLICARPA","Comercial",0,942.884
"U",2011-02-28,"LEIVA","Comercial",0,967.359
"R",2011-02-28,"CUMBITARA","Comercial",0,991.543
"U",2011-02-28,"MAGUI","Oficial",0,997.257
"R",2011-02-28,"LEIVA","Residencial 2",2,1039.71
"U",2011-02-28,"EL ROSARIO","Oficial",0,1079.846
"U",2011-02-28,"LEIVA","Residencial 1",1,1130.82
"R",2011-02-28,"POLICARPA","Residencial 2",2,1166.437
"R",2011-02-28,"POLICARPA","Residencial 2",2,1298.306
"R",2011-02-28,"CUMBITARA","Residencial 2",2,1358.554
"U",2011-02-28,"EL ROSARIO","Especial",0,1500.07
"R",2011-02-28,"EL ROSARIO","Residencial 2",2,1764.938
"R",2011-02-28,"EL ROSARIO","Residencial 1",1,2027.769
"U",2011-02-28,"POLICARPA","Oficial",0,2048.808
"R",2011-02-28,"BARBACOAS","Especial",0,2227.107
"U",2011-02-28,"BARBACOAS","Residencial 3",3,2344.266
"U",2011-02-28,"EL ROSARIO","Comercial",0,2556.995
"R",2011-02-28,"BARBACOAS","Comercial",0,2572.723
"R",2011-02-28,"LEIVA","Residencial 1",1,2693.065
"U",2011-02-28,"LEIVA","Oficial",0,3597.316
"U",2011-02-28,"POLICARPA","Residencial 2",2,4941.935
"R",2011-02-28,"POLICARPA","Residencial 1",1,5042.675
"U",2011-02-28,"CUMBITARA","Residencial 1",1,6005.306
"R",2011-02-28,"BARBACOAS","Oficial",0,6312.496
"U",2011-02-28,"CUMBITARA","Residencial 2",2,6428.99
"U",2011-02-28,"LEIVA","Residencial 2",2,7186.864
"R",2011-02-28,"ROBERTO PAYAN","Residencial 1",1,7376.842
"R",2011-02-28,"ROBERTO PAYAN","Residencial Sub",1,17148.286
"R",2011-02-28,"CUMBITARA","Residencial 1",1,17742.263
"U",2011-02-28,"EL ROSARIO","Residencial 2",2,23025.697
"U",2011-02-28,"MAGUI","Residencial Sub",1,26418.802
"U",2011-02-28,"BARBACOAS","Oficial",0,29436.664
"R",2011-02-28,"MAGUI","Residencial Sub",1,29682.368
"U",2011-02-28,"BARBACOAS","Comercial",0,37987.699
"U",2011-02-28,"EL ROSARIO","Residencial 1",1,40254.308
"U",2011-02-28,"ROBERTO PAYAN","Residencial Sub",1,47342.973
"U",2011-02-28,"POLICARPA","Residencial 1",1,53724.561
"U",2011-02-28,"BARBACOAS","Residencial 2",2,69155.903
"R",2011-02-28,"LEIVA","Residencial 1",1,70419.269
"R",2011-02-28,"EL ROSARIO","Residencial 1",1,107942.28
"R",2011-02-28,"POLICARPA","Residencial 1",1,122779.61
"U",2011-02-28,"LEIVA","Residencial 1",1,129264.34
"R",2011-02-28,"BARBACOAS","Residencial 1",1,201241.6
"U",2011-02-28,"BARBACOAS","Residencial 1",1,283204.38
"U",2011-03-31,"POLICARPA","Residencial 2",2,100.246
"R",2011-03-31,"MAGUI","Oficial",0,132.3
"R",2011-03-31,"CUMBITARA","Residencial 2",2,135.596
"U",2011-03-31,"CUMBITARA","Residencial 3",3,143.941
"U",2011-03-31,"POLICARPA","Especial",0,146.304
"R",2011-03-31,"CUMBITARA","Residencial 1",1,163.411
"R",2011-03-31,"POLICARPA","Comercial",0,192.363
"R",2011-03-31,"CUMBITARA","Oficial",0,255.895
"R",2011-03-31,"POLICARPA","Residencial 3",3,295.318
"U",2011-03-31,"CUMBITARA","Oficial",0,303.875
"R",2011-03-31,"POLICARPA","Oficial",0,484.971
"U",2011-03-31,"EL ROSARIO","Residencial 1",1,606.165
"U",2011-03-31,"CUMBITARA","Residencial 1",1,626.527
"U",2011-03-31,"BARBACOAS","Industrial",0,645.797
"U",2011-03-31,"POLICARPA","Oficial",0,657.015
"U",2011-03-31,"MAGUI","Oficial",0,667.341
"U",2011-03-31,"POLICARPA","Residencial 1",1,712.557
"R",2011-03-31,"CUMBITARA","Especial",0,721.331
"R",2011-03-31,"LEIVA","Oficial",0,729.282
"R",2011-03-31,"CUMBITARA","Residencial 2",2,768.381
"R",2011-03-31,"LEIVA","Especial",0,821.46
"U",2011-03-31,"LEIVA","Comercial",0,864.837
"U",2011-03-31,"CUMBITARA","Comercial",0,889.373
"U",2011-03-31,"LEIVA","Residencial 1",1,970.569
"U",2011-03-31,"CUMBITARA","Oficial",0,1051.394
"R",2011-03-31,"LEIVA","Residencial 2",2,1119.68
"R",2011-03-31,"POLICARPA","Especial",0,1288.317
"R",2011-03-31,"POLICARPA","Residencial 2",2,1318.094
"U",2011-03-31,"POLICARPA","Comercial",0,1347.896
"R",2011-03-31,"BARBACOAS","Residencial 2",2,1374.33
"R",2011-03-31,"BARBACOAS","Comercial",0,1467.752
"R",2011-03-31,"CUMBITARA","Comercial",0,1597.534
"R",2011-03-31,"BARBACOAS","Especial",0,1667.444
"R",2011-03-31,"EL ROSARIO","Residencial 1",1,1730.007
"R",2011-03-31,"POLICARPA","Residencial 2",2,1796.742
"U",2011-03-31,"EL ROSARIO","Oficial",0,1835.91
"R",2011-03-31,"EL ROSARIO","Especial",0,1943.905
"U",2011-03-31,"BARBACOAS","Residencial 3",3,2022.425
"U",2011-03-31,"EL ROSARIO","Especial",0,2253.954
"R",2011-03-31,"EL ROSARIO","Residencial 2",2,2334.08
"U",2011-03-31,"EL ROSARIO","Comercial",0,2529.167
"U",2011-03-31,"POLICARPA","Oficial",0,2640.954
"R",2011-03-31,"LEIVA","Residencial 1",1,2917.131
"U",2011-03-31,"LEIVA","Oficial",0,3808.59
"U",2011-03-31,"POLICARPA","Residencial 2",2,5532.473
"R",2011-03-31,"POLICARPA","Residencial 1",1,5980.193
"R",2011-03-31,"BARBACOAS","Oficial",0,6117.835
"U",2011-03-31,"LEIVA","Residencial 2",2,6346.661
"R",2011-03-31,"ROBERTO PAYAN","Residencial 1",1,7032.998
"U",2011-03-31,"CUMBITARA","Residencial 1",1,8917.731
"U",2011-03-31,"CUMBITARA","Residencial 2",2,9288.75
"R",2011-03-31,"ROBERTO PAYAN","Residencial Sub",1,11475.713
"U",2011-03-31,"MAGUI","Residencial Sub",1,21475.117
"R",2011-03-31,"MAGUI","Residencial Sub",1,24734.049
"R",2011-03-31,"CUMBITARA","Residencial 1",1,26023.054
"U",2011-03-31,"EL ROSARIO","Residencial 2",2,26967.325
"U",2011-03-31,"BARBACOAS","Oficial",0,30790.181
"U",2011-03-31,"BARBACOAS","Comercial",0,32591.572
"U",2011-03-31,"EL ROSARIO","Residencial 1",1,47256.409
"U",2011-03-31,"ROBERTO PAYAN","Residencial Sub",1,47496.982
"U",2011-03-31,"POLICARPA","Residencial 1",1,59361.979
"U",2011-03-31,"BARBACOAS","Residencial 2",2,60108.171
"R",2011-03-31,"LEIVA","Residencial 1",1,60319.169
"U",2011-03-31,"LEIVA","Residencial 1",1,119720.57
"R",2011-03-31,"EL ROSARIO","Residencial 1",1,128278.14
"R",2011-03-31,"POLICARPA","Residencial 1",1,130017.73
"R",2011-03-31,"BARBACOAS","Residencial 1",1,163499.47
"U",2011-03-31,"BARBACOAS","Residencial 1",1,236148.21
"U",2011-04-30,"POLICARPA","Residencial 2",2,32.194
"U",2011-04-30,"CUMBITARA","Residencial 3",3,93.876
"R",2011-04-30,"CUMBITARA","Oficial",0,121.487
"R",2011-04-30,"CUMBITARA","Residencial 1",1,145.585
"R",2011-04-30,"CUMBITARA","Residencial 2",2,160.644
"U",2011-04-30,"POLICARPA","Especial",0,170.168
"U",2011-04-30,"CUMBITARA","Oficial",0,230.424
"R",2011-04-30,"LEIVA","Comercial",0,241.082
"R",2011-04-30,"POLICARPA","Comercial",0,242.604
"R",2011-04-30,"POLICARPA","Residencial 3",3,248.353
"R",2011-04-30,"MAGUI","Oficial",0,314.38
"U",2011-04-30,"CUMBITARA","Residencial 1",1,442.022
"R",2011-04-30,"CUMBITARA","Especial",0,518.852
"U",2011-04-30,"POLICARPA","Oficial",0,559.944
"U",2011-04-30,"POLICARPA","Residencial 1",1,576.616
"R",2011-04-30,"POLICARPA","Oficial",0,666.875
"R",2011-04-30,"CUMBITARA","Residencial 2",2,770.589
"R",2011-04-30,"LEIVA","Oficial",0,800.547
"U",2011-04-30,"EL ROSARIO","Residencial 1",1,802.142
"U",2011-04-30,"MAGUI","Oficial",0,808.01
"U",2011-04-30,"LEIVA","Comercial",0,835.354
"U",2011-04-30,"CUMBITARA","Comercial",0,901.705
"U",2011-04-30,"CUMBITARA","Oficial",0,960.35
"U",2011-04-30,"POLICARPA","Comercial",0,1042.853
"R",2011-04-30,"LEIVA","Residencial 2",2,1082.164
"R",2011-04-30,"POLICARPA","Residencial 2",2,1095.744
"R",2011-04-30,"BARBACOAS","Comercial",0,1172.274
"U",2011-04-30,"BARBACOAS","Industrial",0,1172.935
"R",2011-04-30,"POLICARPA","Residencial 2",2,1208.04
"U",2011-04-30,"LEIVA","Residencial 1",1,1218.226
"R",2011-04-30,"CUMBITARA","Comercial",0,1289.569
"R",2011-04-30,"BARBACOAS","Residencial 2",2,1375.897
"R",2011-04-30,"POLICARPA","Especial",0,1378.359
"R",2011-04-30,"EL ROSARIO","Residencial 1",1,1491.76
"U",2011-04-30,"EL ROSARIO","Oficial",0,1520.769
"R",2011-04-30,"LEIVA","Especial",0,1563.98
"R",2011-04-30,"EL ROSARIO","Oficial",0,1599.322
"R",2011-04-30,"BARBACOAS","Especial",0,1666.819
"R",2011-04-30,"EL ROSARIO","Residencial 2",2,1674.731
"R",2011-04-30,"EL ROSARIO","Especial",0,1926.249
"U",2011-04-30,"EL ROSARIO","Comercial",0,2029.788
"U",2011-04-30,"BARBACOAS","Residencial 3",3,2197.189
"U",2011-04-30,"EL ROSARIO","Especial",0,2259.16
"U",2011-04-30,"POLICARPA","Oficial",0,2397.342
"R",2011-04-30,"LEIVA","Residencial 1",1,2974.365
"U",2011-04-30,"LEIVA","Oficial",0,4368.048
"U",2011-04-30,"POLICARPA","Residencial 2",2,4463.458
"R",2011-04-30,"BARBACOAS","Oficial",0,5124.808
"R",2011-04-30,"POLICARPA","Residencial 1",1,5229.218
"R",2011-04-30,"ROBERTO PAYAN","Residencial 1",1,5584.382
"U",2011-04-30,"LEIVA","Residencial 2",2,6344.261
"U",2011-04-30,"CUMBITARA","Residencial 2",2,7254.804
"U",2011-04-30,"CUMBITARA","Residencial 1",1,7412.547
"R",2011-04-30,"ROBERTO PAYAN","Residencial Sub",1,10577.98
"R",2011-04-30,"CUMBITARA","Residencial 1",1,19815.765
"U",2011-04-30,"MAGUI","Residencial Sub",1,22157.542
"U",2011-04-30,"EL ROSARIO","Residencial 2",2,23488.147
"R",2011-04-30,"MAGUI","Residencial Sub",1,25415.663
"U",2011-04-30,"BARBACOAS","Oficial",0,30630.708
"U",2011-04-30,"BARBACOAS","Comercial",0,33848.159
"U",2011-04-30,"ROBERTO PAYAN","Residencial Sub",1,37508.396
"U",2011-04-30,"EL ROSARIO","Residencial 1",1,41408.663
"U",2011-04-30,"POLICARPA","Residencial 1",1,50506.067
"U",2011-04-30,"BARBACOAS","Residencial 2",2,59680.465
"R",2011-04-30,"LEIVA","Residencial 1",1,77668.052
"R",2011-04-30,"POLICARPA","Residencial 1",1,114269.81
"R",2011-04-30,"EL ROSARIO","Residencial 1",1,115485.47
"U",2011-04-30,"LEIVA","Residencial 1",1,118155.29
"R",2011-04-30,"BARBACOAS","Residencial 1",1,154624.15
"U",2011-04-30,"BARBACOAS","Residencial 1",1,225895.23
"U",2011-05-31,"BARBACOAS","Especial",0,27.928
"R",2011-05-31,"LEIVA","Comercial",0,44.722
"U",2011-05-31,"POLICARPA","Residencial 2",2,61.931
"U",2011-05-31,"CUMBITARA","Residencial 3",3,126.219
"U",2011-05-31,"POLICARPA","Especial",0,158.269
"R",2011-05-31,"CUMBITARA","Residencial 1",1,188.636
"R",2011-05-31,"CUMBITARA","Residencial 2",2,217.763
"R",2011-05-31,"CUMBITARA","Oficial",0,257.293
"R",2011-05-31,"POLICARPA","Comercial",0,260.111
"R",2011-05-31,"POLICARPA","Residencial 3",3,320.667
"R",2011-05-31,"MAGUI","Oficial",0,379.653
"U",2011-05-31,"CUMBITARA","Oficial",0,404.317
"U",2011-05-31,"EL ROSARIO","Residencial 1",1,565.691
"U",2011-05-31,"CUMBITARA","Residencial 1",1,616.879
"R",2011-05-31,"CUMBITARA","Especial",0,655.535
"U",2011-05-31,"POLICARPA","Oficial",0,718.403
"U",2011-05-31,"MAGUI","Oficial",0,762.372
"U",2011-05-31,"POLICARPA","Residencial 1",1,831.258
"R",2011-05-31,"LEIVA","Oficial",0,875.928
"R",2011-05-31,"POLICARPA","Oficial",0,913.83
"U",2011-05-31,"LEIVA","Comercial",0,931.443
"U",2011-05-31,"LEIVA","Residencial 1",1,1008.551
"R",2011-05-31,"BARBACOAS","Comercial",0,1013.88
"R",2011-05-31,"CUMBITARA","Residencial 2",2,1031.251
"R",2011-05-31,"LEIVA","Residencial 2",2,1064.068
"R",2011-05-31,"BARBACOAS","Residencial 2",2,1107.893
"U",2011-05-31,"CUMBITARA","Comercial",0,1186.946
"U",2011-05-31,"CUMBITARA","Oficial",0,1269.473
"R",2011-05-31,"BARBACOAS","Especial",0,1300.283
"R",2011-05-31,"POLICARPA","Residencial 2",2,1337.715
"U",2011-05-31,"POLICARPA","Comercial",0,1352.855
"U",2011-05-31,"BARBACOAS","Industrial",0,1376.988
"R",2011-05-31,"LEIVA","Especial",0,1389.023
"U",2011-05-31,"BARBACOAS","Residencial Sub",1,1401.23
"R",2011-05-31,"EL ROSARIO","Oficial",0,1404.903
"R",2011-05-31,"EL ROSARIO","Residencial 1",1,1529.232
"R",2011-05-31,"POLICARPA","Especial",0,1556.872
"U",2011-05-31,"EL ROSARIO","Oficial",0,1566.529
"R",2011-05-31,"POLICARPA","Residencial 2",2,1632.236
"R",2011-05-31,"CUMBITARA","Comercial",0,1734.473
"R",2011-05-31,"EL ROSARIO","Especial",0,1936.404
"U",2011-05-31,"EL ROSARIO","Comercial",0,2045.19
"R",2011-05-31,"EL ROSARIO","Residencial 2",2,2051.407
"U",2011-05-31,"BARBACOAS","Residencial 3",3,2077.602
"U",2011-05-31,"EL ROSARIO","Especial",0,2464.796
"R",2011-05-31,"LEIVA","Residencial 1",1,2535.254
"U",2011-05-31,"POLICARPA","Oficial",0,3019.771
"R",2011-05-31,"EL ROSARIO","Comercial",0,4117.732
"U",2011-05-31,"LEIVA","Oficial",0,4411.218
"R",2011-05-31,"ROBERTO PAYAN","Residencial 1",1,5373.451
"R",2011-05-31,"BARBACOAS","Oficial",0,5444.919
"U",2011-05-31,"LEIVA","Residencial 2",2,5927.93
"U",2011-05-31,"POLICARPA","Residencial 2",2,6155.974
"R",2011-05-31,"POLICARPA","Residencial 1",1,6566.097
"U",2011-05-31,"CUMBITARA","Residencial 2",2,9564.575
"U",2011-05-31,"CUMBITARA","Residencial 1",1,9734.839
"R",2011-05-31,"ROBERTO PAYAN","Residencial Sub",1,11091.683
"U",2011-05-31,"MAGUI","Residencial Sub",1,21395.576
"U",2011-05-31,"EL ROSARIO","Residencial 2",2,23798.884
"R",2011-05-31,"MAGUI","Residencial Sub",1,24137.616
"R",2011-05-31,"CUMBITARA","Residencial 1",1,30758.832
"U",2011-05-31,"BARBACOAS","Oficial",0,32263.834
"U",2011-05-31,"BARBACOAS","Comercial",0,33779.565
"U",2011-05-31,"ROBERTO PAYAN","Residencial Sub",1,35337.419
"U",2011-05-31,"EL ROSARIO","Residencial 1",1,42191.037
"U",2011-05-31,"BARBACOAS","Residencial 2",2,60306.254
"U",2011-05-31,"POLICARPA","Residencial 1",1,62290.45
"R",2011-05-31,"LEIVA","Residencial 1",1,75284.22
"R",2011-05-31,"EL ROSARIO","Residencial 1",1,110616.5
"U",2011-05-31,"LEIVA","Residencial 1",1,123460.53
"R",2011-05-31,"POLICARPA","Residencial 1",1,137708.53
"R",2011-05-31,"BARBACOAS","Residencial 1",1,154280.05
"U",2011-05-31,"BARBACOAS","Residencial 1",1,250402.04
"U",2011-06-30,"POLICARPA","Residencial 2",2,35.02
"U",2011-06-30,"CUMBITARA","Residencial 3",3,92.61
"U",2011-06-30,"EL ROSARIO","Residencial 1",1,94.891
"R",2011-06-30,"POLICARPA","Comercial",0,119.549
"R",2011-06-30,"CUMBITARA","Oficial",0,128.096
"R",2011-06-30,"CUMBITARA","Residencial 1",1,131.991
"R",2011-06-30,"CUMBITARA","Residencial 2",2,141.079
"U",2011-06-30,"POLICARPA","Especial",0,158.192
"R",2011-06-30,"MAGUI","Oficial",0,279.787
"R",2011-06-30,"POLICARPA","Residencial 3",3,286.194
"R",2011-06-30,"CUMBITARA","Especial",0,304.772
"R",2011-06-30,"EL ROSARIO","Oficial",0,309.258
"U",2011-06-30,"EL ROSARIO","Oficial",0,309.974
"U",2011-06-30,"CUMBITARA","Oficial",0,342.744
"R",2011-06-30,"EL ROSARIO","Residencial 1",1,366.745
"U",2011-06-30,"CUMBITARA","Residencial 1",1,378.231
"U",2011-06-30,"EL ROSARIO","Comercial",0,510.999
"R",2011-06-30,"EL ROSARIO","Residencial 2",2,519.435
"R",2011-06-30,"EL ROSARIO","Especial",0,541.351
"U",2011-06-30,"EL ROSARIO","Especial",0,574.963
"U",2011-06-30,"CUMBITARA","Comercial",0,683.758
"U",2011-06-30,"POLICARPA","Oficial",0,688.315
"R",2011-06-30,"LEIVA","Comercial",0,730.268
"R",2011-06-30,"POLICARPA","Oficial",0,774.053
"U",2011-06-30,"CUMBITARA","Oficial",0,873.305
"U",2011-06-30,"POLICARPA","Residencial 1",1,892.393
"R",2011-06-30,"EL ROSARIO","Comercial",0,962.226
